Subject,Object
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor1/Offer1,"7683.53"^^http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/USD 
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor1/Offer2,"272.68"^^http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/USD 
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor1/Offer3,"888.27"^^http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/USD 
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor1/Offer4,"9904.47"^^http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/USD 
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor1/Offer5,"3993.24"^^http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/USD 
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor1/Offer6,"269.88"^^http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/USD 
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor1/Offer7,"7574.05"^^http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/USD 
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor1/Offer8,"7400.85"^^http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/USD 
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor1/Offer9,"4095.95"^^http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/USD 
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor1/Offer10,"6679.49"^^http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/USD 
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor1/Offer11,"623.27"^^http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/USD 
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor1/Offer12,"7155.71"^^http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/USD 
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor1/Offer13,"4656.45"^^http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/USD 
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor1/Offer14,"2204.68"^^http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/USD 
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor1/Offer15,"1223.79"^^http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/USD 
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor1/Offer16,"9334.06"^^http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/USD 
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor1/Offer17,"9291.02"^^http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/USD 
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor1/Offer18,"9164.15"^^http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/USD 
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor1/Offer19,"2236.48"^^http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/USD 
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor1/Offer20,"1964.68"^^http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/USD 
