subject,label,comment,type,producer,productFeature,productPropertyTextual1,productPropertyTextual2,productPropertyTextual3,productPropertyTextual4,productPropertyTextual5,productPropertyNumeric1,productPropertyNumeric2,productPropertyNumeric3,productPropertyNumeric4,productPropertyNumeric5
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer7/Product300,"adsorptiveness setting","unmannerliness sickled biannual entrusted acropolises admittedly expansionist dower tendrils somnambulists nightjars crumpling vetches pitchiest sups converting corning tranquilizes nonspecific misbehaver tropics teenyboppers pretentiousness maunder footlockers copse micromeli designed densely misconduct carageen squeegeed echolocation simonized hectors wrathed mewl noncelestial sundae wholely vagabondism preintimation gentled voids gustatory staler phosphorous penetrator christmases curbs deathcups footworn drossy magniloquent resell scarrier pajama merlons racking pianoforte pirating dignifying pectorals bolivians demoralizers straighted stitching aftercare tribunals overlie laughings satisfyingly allegiance fathoming notable volcanos sidetracking gumshoed tinkled ruminates tuppence regalities neuromotor pirouetted proles bongos gloaters dazedness contradicts warriors pensioner nonplusing untrue buffos aesopian lasher flexions arbitrated allegorical quarrellers gendarmes limpidly starred mullioning seabirds",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer7/Producer7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature18,"forwarder pleasurably equestrienne tourings goosy","redoubled snuffboxes playing foodservices klanism","mamba curriery litterbugs bellybutton simoniac declaimed achromatically devastator","unbaked chefdoms divining souses toxified immoderateness sensors depolished impoliteness","agaze undergird banker arthropods hoarded ulvas quoter ogee zincifies severalizing adder","1664","1032","608","223","343"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer7/Product301,"recoining beadworks","broadtail bottler freebooter curvy recurving keyways grabbers melanges testily dissatisfied collocating taciturnly chromatographically microorganisms choosers learnedness teetotaled zinnia detainers fecundity melting sawmills indecenter deified invariably steepens unmortgaged sacrosanctness reinstatement studies undergoing hissed urbanology unplowed nepotisms unperturbable proffered urns lighter registered aves nautiluses digestors harks saws shipment unsaddles kerns creamed direfully noster modifies unsterilized infested oilers dolmens foxskin flutes plink reassuming inquisitorial hatches protuberances putsches toddler redirected gorsier fluor pawnbroker lifeline irreligious confraternity wahine voided expansively basaltic blowguns microphotographs internuncios gnattier listens supereminent doer pontoon spillway disassociating biologies wakener encountered mounter crossbred undefensible catenating chemotherapies misdoes sidesteppers halides decors preparedness imperfects naturalized pressings contemporarily nonhero turning skillfully sputum moneyers adeptly",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer7/Producer7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature21,"mousings pileups crasher dielectrics","captions ears treasured calfskins gruellers refuged scripted","indecorous tarnishes uneatable abortionists mimicries clenched camomiles virtu oversize",,,"440","72","294",,
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer7/Product302,"weathered aerify rodeos","reverifying sapper knappers illiterateness foreknowing ambassadress overpopulates fighting martialling paraprofessional acidheads snubbiest pourable mismates balefully strander neediest maladaptation punty bloodmobile excerpted urbanities gusts approximating hanumans cardias stickum overbought unpleased unsuccessfulness magistracies oxygenizing nasalizing unsticks laundromat objectant senator buzzers overspins unicycle quivery trafficway smearers retake sextants sticklers klutz cheesier enuretic hemostats matey shotting stated enjambment insheaths federalism defrosters downloads gawkily awfuller bootlessly cascabel pantheists musicales embowers anteaters convolutely trains backhanded kickbacks anthologies bracer editorializing humoring nubbles darkling opticians ptarmigans nonphysiological bricklayers nihilists lobbyists prorating malodors squabbier antispasmodic disencumbers belts foehns lightest steppingstone icinesses restamps yarest assessed pendants coffeehouse circumstantially worshiping beheading defectively thinner sappiness yores psychoanalyses southers militarizing",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer7/Producer7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature117,"dialog tapers defrocking probers dogteeth miens evangelizes misapplying wharfage","chickweeds reflexologist reemployment","cancelable consecutiveness relined bracing iridic vulcanization regicide progenitive buffeting couchantly","schlock kowtow shrewdness",,"427","380","328","514",
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer7/Product303,"moats indictors redemonstrate","underfeeding cruising halidoms straightforwardly ruinates yerbas anomalistic upheaves agitprops ideational bluchers legmen ticking detecting townspeople ceruminous flintier accedes garotes domiciliated excised oracles properness tithed clonked deigning disguising gatefold bullheads crabbiness urethral roiled subsidies teacher cuirasses sheepshank convexes condensing pluvially examining sensorially promulgates raffias industrialized sparest muttered slipups racked speciousness scraped stonewalls sauerbraten plowers means ebulliently popgun slimly affability warbles multidimensional querists twitters sledder amias inlayer liberality circularized pouter chivying bailment recontracting stomachy badgerly failing pungency nester satieties cabochon reweave macrobiotics hiller fingerprinted blueness stonily administrated fluor watchmaker conditions inebriation ottawas deerfly reedits postprandial pitted sobful caverned tweaky lured pouched sepaloid autoerotism wrinkling bactericidal amoles headforemost decenniums flytraps calmer",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer7/Producer7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature70,"percepts hygrometers partitions microbiologic battlemented tubers","dogface wedder pastries bads birding kvetch intervocalic proclerical vesperal cheeseparing greenest escapes druidism nebulously","aria flooder coffees readmission alee aphorizes","drabbest spavins tussled diminished salubrities blockader hoosiers recognizably uncos familiarizes householders decrial pule genteelness",,"415","977","1057",,
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer7/Product304,"baklavas","outstrip dismountable islanded fairways moroccos arf teenyboppers foundational saws vaporize clefs circulation bouses insurrections nixy verdigris pretences ducktail trudging redeemable insectivorous unneighborly engining contaminants nuncle bonifaces liftman inclosed bigoted doles soapers reweaved hackbut untidies hollies wigs contentedly lambently allegedly olympiad enunciator preconditioned liveried grapery spellbinder reenjoying prehardening intriguing splatter mercaptan orderings frustums radiomen infrequence homestretch reaccent palindromes littler giftedly deistic stauncher demoniacs tidied rerolling discountenances declaims measurement frugged pinprick umpiring catholics ghanaians subfunction overmagnification perfectionism whitlow gonadectomizing withstanding extrusions rauwolfia filchers shrinkers godspeed trumpeted statuting chemurgic homaged phonographic sapper fallouts coitally rebroaden tidies northwestwardly newsiness undershirt leaver syndicates keratins misjudge driving lymphatic pourer ostracizes",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer7/Producer7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature98,"neared wheelless narcohypnosis calxes outsmarted belier darkener visages milliamperes alarumed","chutzpas stickum supersedure boondoggled","intrepidity entrenchment smokiness quintets flyleaf bristles taffies ironed treated flinting goalie identifying scrupulosities resigns","flecky mazedly ameboid looters confederates catechists","agrology martialing partizans","467","877","806","457","233"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer7/Product305,"nucleoplasmatic","metazoa copartners boogers deductive spiciness valueless gerontotherapy spleenish stupas thyroidectomized frilliest pothead honestly maenades sforzatos microminiaturization sleave dutifully thursdays purled disentangled panders somatology reappear horseplayers terminologically democracies umbilicuses microbars salvably dribs debilitant rebus absorber rockless recidivists unmerchantable specified regerminative phalluses dovecots jobber goosy tourers tingled sparsest blacked abrades gauls redelivering resupplied embargoing matronal misidentifications lullabied rewriters turnpikes endomorph bounds concurrence plats pikestaves tabooing nettler doggie chinks perspicacity incalculableness flintlocks ornamentations broader flemishes juratory palpation spumones persecutions mistypings brahmin targeting impenitence futility refuters paused shakily chromas glamorizes filleted spermic farcy seiners victorianism isotopically unpreserved coronels bagged",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer7/Producer7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature21,"tubulate garnished gouger tattletales amnestic dramatizations klatch bloodsucker stamens nonstick staidest","hydrocephalies peculated dualize embar opprobriated undraping brickier","samples dimorphism escapements conducts revelling tolls migraines neb compromises superficialness",,,"192","166","1265",,
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer7/Product306,"numerologists hymnist potbellied","cesurae cambiums loopholes bedrails revenued fards nosey baubles directional chlorinates taskworks hallucinative hairlines maneuvering hopheads fulnesses munificently despairing nonconductor codifies indescribabilities outdoor feticide uncharted marksmanship floorings birthplaces digraph thymes coasters rashes dewlapped observes barristers rhymesters etcher excusableness doctoring primulas convexo criminals mainstays negatives passings shrivels recompiling telecaster crayons electively pervasively barographs slumming sledder platy ensheathes bourrees glimmered spanning stenciling wheelbarrows royalists levelheadedness revue ponderously",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer7/Producer7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature21,"globalists hanger recontracts ecru ural moas burbled nonalignment assegais cherokees stupefacient","cardiacs liquidized taoists perpendicularly necrophilic deposers knifers herpetic burins franked phonetics belongings quills keisters fullering","stalling roundhouses contingence frogeyed bloomery impolitely procurator schmuck","pebbling stemming scarers pastural performers gonococci prepaid distend clashers","cowhands reifiers sociopathic burling sardonyxes gravelly steppes aethers trifled sledgehammers","629","149","160","1808","1611"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer7/Product307,"abuttals entreating","percentiles superannuating cremates embryologists mayoralties refrigerators colorimetry agitates affectedness routinizes coerces admissability studdings dickers devastated dentifrices abdicable whiffle presell willed entertains stye transferrers estoppage subtotalling seeds headworks paperboard cuffed bacchanals materialistic pewters unobjectionable keypunched unlifelike mangey sciatic backlit snaking nippy wroth devastatingly seraph operative redcaps anesthetizing cogences birding unhandicapped antlions blistered unsew chammies teaberries informational halfbeaks cookeys despairingly triturating mousing dextrins tother tunnelled boatswains insetting touches fablers panhandled punsters nailers wrasse disgraced philately prevaricate slyest proclaimed anarchical lactoses misinterpret enamelware convective pitying legislatorship suttee malapertness mediacy columns cassia hyping phones unindorsed",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer7/Producer7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature21,"chapters seaports tenoning","windiness soupcons interleaved maintenances tither","nonreturnable celts indecenter anneals fireflies redemonstrating druggist","porkpie ungracefully steps braggadocio demonstrably reformulation anemic exhalant vituperated","laboratorian scuppering communicability skilling","977","532","545","493","465"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer7/Product308,"pounder","consecration saddling vegetation abaci collagens reinvestigate mavins reencountered severest samsara weakfish brides gleemen ligates turfless defalcate testators creepage reopening sholom polypoid ignorantness geosynclines ridder trickie appropriators postally refried aerations retreat turfier outjuts summarizations wehner wildness parfait encounterer gunplays pinworm unsung disbound vamoosed sudsless hoots conciliation stalkers serried bucks disbelievers muonic razer peacekeeping abashed unburdening kelpies stopcocks religionists nondiscrimination twaddles reproducers renowns cyphering updater unforgivable entering mettled developers tampered embarkations shoveller infuriates migrators crisscrossing unoccupied spearmen clamorer unleashing floodlighted atropins japes arctics asserters madness interoceanic particularity sills olivinic pertaining penmanship polemically droits comeliest researched stemmer mss souvenirs proficiently solarizes brusker garaging colourer toxically romanizing assaulter officeholders autographing recounts decolonized burnable balls musicotherapies engagers draped launcher mirthfulness bints peewee howling bedder electrochemically unasked grubber butlers accouterments rapine extraterritorials wrinkles virgins motleyer nondevelopment haggis expirer angerly semisoft picked furzy kitchens rauwolfia",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer7/Producer7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature54,"bundlers collectedly nonregimented calliopes","temptable confectioneries poler reinformed stylite hotdog leukoma fancifulness","circumstantiate blockhead designative tinniest denigrator inflamer cobbler","petrologists customarily misdiagnosing athenians vinylic idlest infrangible daughterly plodders served moistureproof rec roulettes continuos ragworts","nystagmus hights neckband sisals unprompted overreacting","384","1218","74","1","584"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer7/Product309,"expellee waterwheel preadmit","travestied kakogenic bugbane mused nigritude proctologist bowlings intermenstrual spurry repacify wingspans ranginess nonauthoritative marlinespike chieftaincy headed inelegantly hesitantly mindedly springes unplugged gauntness lodestar argents gulls lingula coating uncos hexameters aberrantly laywoman alluvia remands fretters vacationers gasless chinaware fairing defaults refuelling examinee grubbier cognitional consanguinity evenly heliocentricity airheads lambie rimrock wooing tamarisks conventicles tamponed breadbasket unfolder bolloxed geneses argal gnomists untruthfulness zymogenic donut canters combines ceremoniously lousily overcorrection ensure divided enlighten pipet planetologist overweighed twinship subscribing figurings glistens byes swingers dogears expertness wrynesses sullenest overruns reformats renewers amusedly bleared pargetting tenableness sits switching parroter funnelled bldg maidservants nosedive surrealistic golder pizzle spindled pulques maelstroms poltroon poppycock signalled substantiable reminds wakening ozonizer determinists surrounding",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType1,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer7/Producer7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature55,"prejudges jetsom laxly dissimulation photocopies semitone vicunas maundy yetis administratrices nationalistically stationed","ponton shirtfront junkets logways spangled frig patsies","renderers novas drawlers atingle","faithlessly confuters regularization instituting ambivert aguishly tenches diffractive","respelled perceiving solecisms blackthorns beggarliness unblessedness overpaid","643","91","1262","906","1239"
