subject,label,comment,type
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature570,"coaxing","firming mollification astronautics boundless informatively savoriness bigheaded dejected warmongers onside lettered marlinespike meads enchiladas penholder percipience reigns overdrive plausibility electrics rhonchi reciprocities undoubting ringed",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature571,"orbited","accedence percusses repapered reshipment wireways diodes bignesses mahjong vadis peskily joyfully villainously stylets priapic suspensions cleaned leaved precented hoarier superimposes darked reseals provider regressiveness marylanders intervarsity ars ovulation lightmindedness flageolets overpaying impostors peremptoriness splurged avenues acclaims elevations tabers",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature572,"begot linty kyat","enlivenments cyanogen displacing fakery assuagable funnelling kaput planers promenader natant redistributes smallest milieus zabaione meekness palates mountebank caesural calcimines avenges orangeade jackers quaveringly rejudges welfares governing polytheistic curter thanker botched unfortified coverers endbrain cellaret endorses antifascism snitches foodstuffs dropping preadapt pseudoprofessional",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature573,"burster","situp nonfat prepay countermaid subunit suckled obsessors aphasias engraves dependently subsonic surpriser teetotals frolickers adhering teslas coinsured bergh antimacassar humorer enframe kinged handwrites swishes ornaments colonizationist insphering falchion slices songfest beadrolls sulphates confluence inartistically subatomic intrudes adored calciums romanesque baal knickknacks reuse fleecy outstare preexposes shirrings sateens impersonally",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature574,"waverer","bezels greenbacks fortuitus attentively disavow beaconed knots hydraulics morganatic partiality regretter neuropath hysterias trustiest repels flattering strongyle redolent awardees bobbysoxer reformations interregnal takeovers gallanting inklings maisonettes aspens crumps pickings liquefactions centrums minister abuser anguished uncorking secretaryship",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature575,"benzines coder misidentification","axillae nitrators courser cavalrymen yesses puddled remeasuring nankeen canonise reaccustoms fieldleft haleness mutated spendthriftiness opaquing caricaturing rachitic nibbled thins dropsies bedazzling skilful ratiocinates whicker drilling sustained dreggish pas synchronize reinvolvement",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature576,"collapsibility sheeneys unionize","shores uninformed pulled telegraphers hydrothermally offered tything helistop osteotome counterbalanced glummest nighties gamer underbid papally uncharitableness legislatress whimsy conceptualizing tempuras flams swallowtails massedly interlaces narratives agons paroling achievable wabbles subgroups heisting antigens likeness meed inkers tartness tabbed pittance wallets analogousness implosions mayapples russets ontogenically apically whizzed",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature577,"outstripping emaciation","amigas postmenstrual tushed macintoshes sidesplitting medicals recapped naif inverts soundproofing seditions woodiest decentralizes winiest competed archaeologist florins tranquilizes chalah vocalizing encountering sporule fruitcake infatuated depopulators profiting plougher irresolutely meshier clarion gonoph rawhides forego disabler annuls",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature578,"criticizing","algorithms carrousel retrofiring costumiers eczemas challengingly cupbearers drooling twitted tieclasp valvelet alternatingly transfusing poetizes consonantly surfer straighter bipartisanship dogsbody piggie unexplored skids xylophonists reckless expatriates howled coupled iodines transshipment sandpapering misbehaver treacle sexisms ascendent inflaters supes consensual furnished",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature579,"sightsaw frier cornel","heptameter refold pluvially cosmonaut vociferousness republica catchpenny slacks stalkless understands diapason bereaves crees misadventure dreck backbitten gargler juans sentiently mawkishness defecter renovated refurnished loiterers jehad colonization gilts electuary rheums zucchinis samurais blacklist flatboats perishes underslung heavenlier yardsticks emptiers",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature1400,"militated","fuds sessile accordance combo flutist uneven valancing lysed mermaids fulgurate outlet disjuncts irritabilities calamitously whishing heals purifiers ricocheting unraveling acumens neurologist ureas muscled profoundly poteen rippers unspent recreations",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature1401,"unilaterally","lobotomies observational lycees deair faying outperforming deflagrations pasteurizing browning forewoman nonperformance impercipient defames dereliction shortsightedly defamations spas enplane spinsterhood reechoed uncomfortableness flounderingly decedents liker hottish yogini scrappiest booklore fumigated acidheads fumers plosive",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature1402,"unacceptably","sensuality talcs weeder histologists oncological lithuanian starchiness percolating vacationed endearingly reliers impatiently californian academias flatcars impreciseness peonisms treated ploughman teratologic dayroom pock overrefinement greenishness variants bloodstreams reascending helloed uncheerfully",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature1403,"genocides sidesplitting","aspic tubbed sequenced anonyma easterner normals vocalities disarmer discharging increasingly ensphered fleabite visitress wayfarings lassos switchyard unfortunateness lunk chilliest unsaved stemmy arborist unconvertible obovoid athletically instances odoriferously spinally roils tortrix spelunker worshiper",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature1404,"nymphos","photographic roundups latecomers psychoneurotic ambients nosed shysters gaels fiscals scandalizer interleaved lighthouses sacks delinquently anthologize porticoed groggery elating hierarchism hedgehopper rexes taboret accusable reconsecration rescissions cantinas relied",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature1405,"seizable babbler","adulterers moistest disarticulation kabbalah waspishly labourers benisons doeth mooting knackery reinducted urchins riyals dotted teetotum decrepit sanctifier ideo alarming envisaging demimondain interpreting fixtures entering segmentary franchises fermentations polymaths interrogations vested kowtowing arborvitae durum stoops bluepoint microtome obtained unpopulated cutey living utahans ovally dentin entrees",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature1406,"raveners gunnysacks javelined","circuital ergonomics imago ribby bombasts reinfection jinni clonking semitraditional ecologies quartan loots finnmarks flocked outfielder unbelief pointlessly serges shrewdest eviction reseat underprice capillaries frilliness electrically sower yardages incumbently roughhewed linkers recessiveness crisply expurgated typification subrace disassociating tunney thermodynamically handcraft shoshone bruin dissimilarities collusive slushiest lieder hacking stickouts notarizations counterplot",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature1407,"fiends","repeatability excitors parroter dastardly refries marvelousness alternately subminiaturized quadrenniums beneficently mashed chams shalt befitted defining purificatory rooters catnap taillights voucherable misusing bibbs factotums interiors salmonellas auxins moiled prevalence",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature1408,"torturously","circulative capelets discoveries ventriloquism galleons revolutionized stoutest truckers huger chirographers picturephone preconsideration screeched standishes drooling liftmen dwellers lowboys powerfully gags laciness sphincteral taphouses thermites raveling aphorizing unmarried debarment cardiectomy misconstrue subtended ped applauders nourishment complimented flyblows christians yaws outbalance congruous",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature580,"biters asphyxiating multifactorial","enshrouded astrologically polymers tartans stickup sacrosanctness preaches alacrities scrawlier involuntarily chromosomally defrauded insiders waterfowl ferrets cryotron noninformative antisepticizing ringdove clinkered finer doughier",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature1409,"waistlines","saucerize disability cembalos luggers koalas flamines slummiest families piecrusts misaim titles sentimentality tapholes surmises isling koruny contemporaneously weirdest microscopist scientists slavishness broiling troys anodynic potties immunologist vamped daphnias scurfiest calendaring sacrums subjugated antigens dirking commensurations aah heehawed satori scrabbles ubiquitously euchring",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature581,"gleaners","ghat limitlessly wrecked admonishes flambeaux retirement mayest stopper output avoidable dairymaids sequinned chinking forgeries acoustics enscrolls backfiring unobtrusive lucres proprietors warningly postulation candler drippier appreciations corves poky buckskins vestries nepotisms chagrining flaws prewarmed bootlace cosseting lessoned unlevelled trustees coinsurance lugger studiedly gruellers garrotte dubbings cedarwood biomathematics synonymicon promisor interconnection metazoic",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature582,"flyby towboats bloaters","wheedles autophagy numerated lairing britons thanatoid levitates paced precontrive namesakes woald beanbags taoists smelter poses waggles fanwort innocently haberdasheries guidon secularizes laryngitic peewees bathoses deash sheathes refix chiffons lippiness draftiness deregulations liberalism retributive nondiscrimination bustled discourtesies marxists quartiles encrypt crucifer vivariums vaunting",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature583,"gelee milkily","sauropods iffier reloaders miming chuffer preapplications plebs saintliest polynesian retyped garbages catatonias profiling cleanliest adorability debilitating deafened overspecialized wilted qui preelection triadics intercapillary shul disrupts whoso heartless articulateness",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
