subject,object
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType1,"2000-07-04"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType2,"2000-06-26"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType3,"2000-07-05"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType4,"2000-07-14"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType5,"2000-07-18"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType6,"2000-06-28"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType7,"2000-07-07"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType8,"2000-07-22"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType9,"2000-06-29"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType10,"2000-07-13"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType11,"2000-06-22"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType12,"2000-07-05"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType13,"2000-07-08"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType14,"2000-07-09"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType15,"2000-06-23"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType16,"2000-07-16"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType17,"2000-07-17"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType18,"2000-07-17"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType19,"2000-07-19"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType20,"2000-07-17"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType21,"2000-07-15"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType22,"2000-06-29"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType23,"2000-06-30"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType24,"2000-06-25"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType25,"2000-06-27"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType26,"2000-06-21"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType27,"2000-06-27"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType28,"2000-07-10"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType29,"2000-07-13"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType30,"2000-06-26"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType31,"2000-07-13"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType32,"2000-07-09"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType33,"2000-07-17"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType34,"2000-07-12"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType35,"2000-06-29"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType36,"2000-07-04"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType37,"2000-06-20"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType38,"2000-07-09"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType39,"2000-06-26"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType40,"2000-06-20"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType41,"2000-06-21"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType42,"2000-07-22"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType43,"2000-07-07"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType44,"2000-07-07"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType45,"2000-06-22"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType46,"2000-06-24"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType47,"2000-07-22"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType48,"2000-06-30"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType49,"2000-06-23"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType50,"2000-07-17"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType51,"2000-07-12"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType52,"2000-07-09"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType53,"2000-07-21"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType54,"2000-07-04"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType55,"2000-07-22"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType56,"2000-06-30"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType57,"2000-06-30"
