subject,object
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType1,"Thing"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType2,"amour dupable"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType3,"microprocessor mops reigned"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType4,"practiced"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType5,"arteriography"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType6,"huffiest tougheners interfering"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType7,"papuans womaned"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType8,"unsalaried"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType9,"weapons zeals"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType10,"sheeny"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType11,"playacted"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType12,"linguini repossession energize"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType13,"chaplets unharmful frizettes"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType14,"dyspeptics indubitably"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType15,"redrafted tarting"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType16,"engulfing"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType17,"daftly volute outvoted"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType18,"reglued renovators"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType19,"onefold outproduces decalcomania"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType20,"umbellate"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType21,"mannas"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType22,"melanized pants soilages"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType23,"feeblemindedness arrhythmical rectangles"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType24,"valorizes stammels reinduce"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType25,"balancing antiradicals"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType26,"heroics biracialism"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType27,"courtrooms skyjacked daphnias"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType28,"dichotomously"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType29,"abhorrences"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType30,"overambitiously asphyxiates"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType31,"bounds kirigami dogsbodies"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType32,"pouffs sadisms obduction"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType33,"surfaces ambled wifehoods"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType34,"provisionally tolerative memorialize"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType35,"hellenist"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType36,"fumaroles puled beatification"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType37,"globs tops memorability"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType38,"valerian obeah"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType39,"encumbering underparts heedfully"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType40,"farmhouses"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType41,"shutterbug jarsful cadgy"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType42,"veinule endured"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType43,"preserved"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType44,"campstools foursomes owls"
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType45,"raps bruted"
