subject,predicate,object
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature52,http://purl.org/dc/elements/1.1/date,2000-07-04
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature52,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/StandardizationInstitution1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature52,http://www.w3.org/2000/01/rdf-schema#comment,quills galled sleeting peristylar expurgates beauts invigorating arider cosigner barbarize cushioning messman cinquains enfoldings tutoresses folktale zonetimes removed mein boxful allergen lindanes causerie lieut yummies prickiest cording disinterested scribers sapidity yours aesopian debauchees cumquat cloaked sandbags intellectually duplicates umbeled
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature52,http://www.w3.org/2000/01/rdf-schema#label,retirer torrential automatons
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature52,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature40,http://purl.org/dc/elements/1.1/date,2000-07-21
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature40,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/StandardizationInstitution1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature40,http://www.w3.org/2000/01/rdf-schema#comment,bickerer meaningfully stigmatizes enzymes minify yardmaster flusters underseas vacuums abbesses opposing murderess impulsing treadles pettifogged hawthorns brahmin gurgled electrosurgeries prizefights ambushed sociosexual touches
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature40,http://www.w3.org/2000/01/rdf-schema#label,veinule endured
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature40,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature76,http://purl.org/dc/elements/1.1/date,2000-07-22
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature76,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/StandardizationInstitution1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature76,http://www.w3.org/2000/01/rdf-schema#comment,tidies trochaics disinfects genet quahaugs nondrinker escallop tremolo immigrated brutally backstitching clamorously uncongenial blustered lechered antidotal reimburses waffling embroiderer prepublication ephedrin jauntiness polarization divisions equivalences transgressors insaner gumtree
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature76,http://www.w3.org/2000/01/rdf-schema#label,japanizes matzo fishways
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature76,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature64,http://purl.org/dc/elements/1.1/date,2000-07-03
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature64,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/StandardizationInstitution1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature64,http://www.w3.org/2000/01/rdf-schema#comment,missions smoked shoes howdie inconsolably remolds triadics amnesias ascendance alluding stretched buffoonish subcompact crutched brittleness subsides feaze outbalance castings beechier soapers vaunted
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature64,http://www.w3.org/2000/01/rdf-schema#label,dangled crowner
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature64,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature209,http://purl.org/dc/elements/1.1/date,2000-07-05
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature209,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/StandardizationInstitution1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature209,http://www.w3.org/2000/01/rdf-schema#comment,collapsibility participles walloped mixer tonetics anaesthesia laryngoscopy premies singing breakdowns effortlessly subtilest foregone scrawls offhandedness exotisms engagingly bisectional tartaric likability cuniform defog luminal immemorially nonmalicious dingdonged benchmarked oater cogway headgear
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature209,http://www.w3.org/2000/01/rdf-schema#label,widdle
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature209,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature88,http://purl.org/dc/elements/1.1/date,2000-07-02
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature88,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/StandardizationInstitution1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature88,http://www.w3.org/2000/01/rdf-schema#comment,neutrons accelerates gormands elidible tutorship registership fieldpieces uncloak mktg culler preexisting pantomiming granaries yolked cynically raincoats pulpits pods hankie lengthily guiltily flossier defamed peels
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature88,http://www.w3.org/2000/01/rdf-schema#label,outstares ascriptions talkable
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature88,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature132,http://purl.org/dc/elements/1.1/date,2000-06-22
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature132,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/StandardizationInstitution1
